code,threads,power_of_4,min,avg,max,time
AVX2,12,14,3.0658354791924,3.0658736195433,3.0659166711866,216.713716394
AVX2,12,14,3.0658499996526,3.0658709906553,3.0659083381792,218.031257226
AVX2,12,14,3.0658324615659,3.0658655440063,3.0659266079194,217.9322379
AVX2,12,14,3.0658193342503,3.0658678232746,3.0659056515018,217.454713024
AVX2,12,14,3.0658365459664,3.06589275147,3.0659202470782,217.833590734
AVX2,12,14,3.0658391092852,3.0658801040995,3.0659241981947,218.900611491
AVX2,12,14,3.0658469597898,3.0658850608621,3.0659243437337,220.829113781
AVX2,12,14,3.0658460438999,3.0658753608177,3.0659134875151,225.715216645
AVX2,12,14,3.0658306524515,3.0658709638872,3.0659058840617,225.294212548
AVX2,12,14,3.0658451747174,3.0658748198892,3.0658943114127,220.786808629
AVX2,12,14,3.0658482757106,3.0658737814645,3.0659011889356,218.069668017
AVX2,12,14,3.0658366016832,3.0658813323443,3.0659172324115,217.982130421
AVX2,12,14,3.0658425150245,3.0658796329503,3.0659426522066,216.919667628
AVX2,12,14,3.0658336823331,3.0658768535155,3.0659301993779,214.989789344
AVX2,12,14,3.065835366629,3.06588062821,3.0659469801393,214.927572509
AVX2,12,14,3.0658392797498,3.0658760698278,3.0659062352563,218.453496016
AVX2,12,14,3.0658427888123,3.0658825544166,3.0659151042509,218.493870443
AVX2,12,14,3.0658393663755,3.0658848680823,3.0659313079484,219.630942051
AVX2,12,14,3.0658445655661,3.0658767050918,3.0659234989088,217.625866833
AVX2,12,14,3.0658495496024,3.0658868229708,3.065951531298,222.003622458
AVX2,12,14,3.0658491079958,3.0658759354828,3.065899316619,224.163270715
AVX2,12,14,3.0658523016409,3.0658839250657,3.06591529808,227.286335061
AVX2,12,14,3.0658300491,3.0658708944089,3.0659509941412,226.867820391
AVX2,12,14,3.0658327292395,3.0658707678874,3.0659151476284,227.242941686
AVX2,12,14,3.0658115311947,3.0658816363326,3.0659217939294,230.115508886
AVX2,12,14,3.0658575995923,3.0658871080111,3.0659158504972,231.421791321
AVX2,12,14,3.0658383305158,3.0658862170316,3.0659433603885,226.500462238
AVX2,12,14,3.0658186457288,3.065870573329,3.0659373874181,226.233185109
AVX2,12,14,3.0658176580448,3.0658631337266,3.065928188895,226.532911401
AVX2,12,14,3.0658656217658,3.0658897001218,3.0659021683109,231.032892283
AVX2,12,14,3.0658356976854,3.0658803664993,3.0659241669156,225.123574415
AVX2,12,14,3.0658396891137,3.0658872507137,3.0659173081089,223.744593507
AVX2,12,14,3.0658502520503,3.0658846486465,3.0659305181289,228.479812159
AVX2,12,14,3.0658458927395,3.0658791034895,3.0659042222012,226.741999657
AVX2,12,14,3.065826523455,3.0658853469544,3.0659448155996,232.753245915
AVX2,12,14,3.0658291445039,3.0658813335937,3.065912287426,233.479400086
AVX2,12,14,3.0658372949006,3.0658840506907,3.065908127366,233.043021618
AVX2,12,14,3.0658469911663,3.0658824035413,3.0659185605594,238.428002719
AVX2,12,14,3.0658383204971,3.0658855829434,3.0659258512936,252.590399989
AVX2,12,14,3.0658527573842,3.0658782635313,3.0659405134853,227.470815693
AVX2,12,14,3.0658415889965,3.0658792271898,3.0659113021142,237.869438833
AVX2,12,14,3.0657993404658,3.0658713765067,3.0659143940689,235.156240183
AVX2,12,14,3.06584135695,3.0658705264227,3.0659093304841,235.081940647
AVX2,12,14,3.0658209917798,3.0658761769031,3.0659028577837,238.679206373
AVX2,12,14,3.0658326369616,3.0658778233689,3.0659134280031,233.067268469
AVX2,12,14,3.0658312122558,3.0658723125995,3.0659227062158,239.655965587
AVX2,12,14,3.0658469515273,3.0658889324652,3.0659309711754,245.676205501
AVX2,12,14,3.0658527556378,3.0658741941038,3.0659121286794,248.529029652
AVX2,12,14,3.0658393797136,3.0658803168139,3.0659071619374,253.147687571
AVX2,12,14,3.0658519639436,3.065877948821,3.0659232699985,249.438126347
AVX2,12,14,3.0658121159989,3.0658794160348,3.0659194212482,219.054138747
AVX2,12,14,3.065835775972,3.065866084719,3.06591209397,220.758469531
AVX2,12,14,3.0658298919554,3.0658746931813,3.0659240962028,223.311260697
AVX2,12,14,3.0658332556679,3.0658637679573,3.065922284239,223.09834267
AVX2,12,14,3.0658350206521,3.0658813550869,3.0659264643126,223.204681019
AVX2,12,14,3.0658541418461,3.0658810238883,3.0659386053437,224.462163064
AVX2,12,14,3.0658261163655,3.0658754044948,3.0659254456566,223.428970965
AVX2,12,14,3.0658443077492,3.0658806851562,3.065920689721,238.262733871
AVX2,12,14,3.0658366160948,3.0658756217165,3.0659283952367,240.982055822
AVX2,12,14,3.0658462445256,3.0658885034819,3.065928926425,236.752355985
AVX2,12,14,3.0658446575042,3.0658930262788,3.0659352565521,221.919962234
AVX2,12,14,3.0658443386954,3.0658880193681,3.065919856214,225.672692537
AVX2,12,14,3.0658320067196,3.0658732435464,3.0659119165133,228.334633964
AVX2,12,14,3.0658112381071,3.0658621475494,3.0659007997961,224.750201477
AVX2,12,14,3.0658426124069,3.0658703585424,3.0658906963559,224.075228801
AVX2,12,14,3.0658365203773,3.0658735978493,3.0659325600592,224.005201663
AVX2,12,14,3.0658527591072,3.065883516285,3.0659208355013,227.296276303
AVX2,12,14,3.0658593977582,3.0658909453586,3.0659174841934,223.626253423
AVX2,12,14,3.0658143431585,3.0658778802869,3.0659221548053,230.510044205
AVX2,12,14,3.0658472701233,3.0658845341178,3.0659407195443,228.650157435
AVX2,12,14,3.0658443451478,3.0658881414162,3.0659261119055,221.846925206
AVX2,12,14,3.0658428775131,3.0658880847642,3.0659394521817,226.21698939
AVX2,12,14,3.0658622973195,3.0658889540022,3.0659306117551,230.2832717
AVX2,12,14,3.0658339685239,3.0658811229593,3.0659434306318,223.51617727
AVX2,12,14,3.065858629933,3.0658754549669,3.0658993523872,223.667263356
AVX2,12,14,3.0658433886707,3.0658878551752,3.0659137023402,224.641947032
AVX2,12,14,3.0658390213021,3.0658765533031,3.0659327283219,224.704834329
AVX2,12,14,3.0658290818794,3.0658625574759,3.0659035475257,224.681365888
AVX2,12,14,3.0658246065762,3.0658847485304,3.0659154533187,227.729343327
AVX2,12,14,3.0658332757749,3.0658881734604,3.0659495319988,224.098039495
AVX2,12,14,3.0658377491048,3.0658804730967,3.0659271143538,220.959265037
AVX2,12,14,3.065850899509,3.0658795047944,3.0659162822554,228.13472118
AVX2,12,14,3.0658479149748,3.0658816933686,3.0659035380391,226.039761122
AVX2,12,14,3.0658368866464,3.0658852415929,3.0659190397696,230.078950258
AVX2,12,14,3.0658411882553,3.0658699279578,3.0659032433698,228.792459121
AVX2,12,14,3.0658606873915,3.0658870296307,3.0659111349708,230.616582706
AVX2,12,14,3.0658482043302,3.0658737400757,3.0659038743686,232.101484638
AVX2,12,14,3.0658588479523,3.0658875976855,3.0659303541873,228.384831902
AVX2,12,14,3.0658469629611,3.0658831120594,3.0659232416784,225.325309045
AVX2,12,14,3.0658432337064,3.0658887126225,3.0659141157025,228.84490664
AVX2,12,14,3.0658103756096,3.0658563057152,3.0659274844356,224.534939879
AVX2,12,14,3.0658344482223,3.0658863679143,3.0659260468989,228.186950416
AVX2,12,14,3.0658383594057,3.0658785780158,3.0659475004434,232.999565385
AVX2,12,14,3.0658375957885,3.0658888114018,3.0659611045308,229.120110651
AVX2,12,14,3.0658408366663,3.065882982634,3.0659587430595,231.594103689
AVX2,12,14,3.0658468023628,3.0658732492411,3.0659226720541,244.6342696
AVX2,12,14,3.0658445394473,3.0658852904861,3.0659372498659,244.473906247
AVX2,12,14,3.0658580251678,3.0658911352845,3.0659277489253,243.409692594
AVX2,12,14,3.065842457545,3.0658759697254,3.0659378427749,247.544877951
AVX2,12,14,3.0658466942169,3.0658812355731,3.06593205187,245.072782031
